Station	Date	Tmin	Tmax	Tavg	I
14/03/2018	0.6	3.6	1.8	4.6
15/03/2018	-0.6	1.3	0.3	3.3
16/03/2018	-4.5	-0.2	-1.9	6.4
17/03/2018	-5.4	-1	-3.5	9.6
18/03/2018	-4.9	0.9	-2.1	14.2
19/03/2018	-6.4	2.7	-1.2	15.1
20/03/2018	-2.5	4.2	1	15.4
21/03/2018	-2.6	5.7	1.3	6.5
22/03/2018	-0.2	2.8	1.1	6.5
23/03/2018	-0.2	1.9	0.8	3.5
24/03/2018	1.1	4.8	2.8	6.6
25/03/2018	2.7	5.7	4	2.9
26/03/2018	0.7	6.4	3.5	8.7
27/03/2018	0.9	5.6	3.1	7.6
28/03/2018	-1.7	0.9	-0.2	5.9
29/03/2018	-0.6	0.7	0.2	3
30/03/2018	-3.3	4.3	0.6	16.6
31/03/2018	-0.9	2.1	0.5	5.2
01/04/2018	0.1	2.3	1	6.2
02/04/2018	-1.2	6.4	2.3	17.7
03/04/2018	0.4	8.6	4.1	3.8
04/04/2018	7.3	11.7	9.2	12.2
05/04/2018	2.8	9.9	6.3	6.6
06/04/2018	1.9	9.9	5.3	18.9
07/04/2018	3.7	13.4	7.9	17.1
08/04/2018	5.1	17.7	11.5	18.7
09/04/2018	7.4	17.5	11.9	15.1
10/04/2018	4.8	11.8	7.9	16.5
11/04/2018	2.9	11.3	6.3	19.5
12/04/2018	4.1	13.8	8.3	17
13/04/2018	7.6	14.8	10.7	14.5
14/04/2018	6.4	11.2	8.3	4.6
15/04/2018	4.6	8.8	7	4.3
16/04/2018	2.8	14.5	8.7	13.9
17/04/2018	5.7	14.7	9.4	14.5
18/04/2018	6.5	19.7	12.9	19
19/04/2018	6.2	21.3	14.6	21.1
20/04/2018	10.5	23.9	16.4	21.1
21/04/2018	7.2	17	11.7	21.1
22/04/2018	3.2	16.4	10.5	21.2
23/04/2018	7.9	15.9	11.9	17.9
24/04/2018	7.4	13.3	9.7	12.5
25/04/2018	5.7	12.1	8	12
26/04/2018	6	11.6	8.3	13.1
27/04/2018	6.7	12.9	9.4	16.9
28/04/2018	7.1	16	10.9	14.8
29/04/2018	7.2	15.4	10.6	15.7
30/04/2018	7.9	16.7	10.7	11.5
01/05/2018	6.1	10.4	8.2	4.5
02/05/2018	4.4	13.4	9.3	24.6
03/05/2018	5.4	13.1	9	19.5
04/05/2018	1.9	12.9	8.1	21.7
05/05/2018	2.9	17.5	10.9	24.6
06/05/2018	4.7	19.4	13.4	25.5
07/05/2018	7.4	21.8	15.4	25.6
08/05/2018	7.6	22.9	15.9	25.7
09/05/2018	9.2	22.9	16.1	25.4
10/05/2018	10.5	23.5	16.2	20.7
11/05/2018	8.7	16.6	12.1	16.2
12/05/2018	6.4	18.6	12.8	19.7
13/05/2018	8	23.2	15.4	24.4
14/05/2018	11.2	25.1	18.1	25.9
