ScreenName	Uinsulation	heatingCost	lampCost	co2Cost	transpiration	condensation	ventedWater	screen1	screen2	screen3	light1	light2	light3	energySaving	iteration	step
character	character	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LS_Solaro_5120_O_E_AW	0.05	0.544721	0.645076	26.9623	1743.84	-688.957	-976.609	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.2	132	175200
LS_Solaro_5120_O_E_AW	0.1	0.548166	0.645076	26.8223	1743.3	-691.054	-973.847	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.2	133	175200
LS_Solaro_5120_O_E_AW	0.2	0.555176	0.645076	26.5922	1742.83	-694.69	-969.432	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.2	134	175200
LS_Solaro_5120_O_E_AW	0.4	0.568632	0.645076	26.2066	1741.88	-700.71	-962.008	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.2	135	175200
LS_Solaro_5120_O_E_AW	0.8	0.593241	0.645076	25.6241	1738.4	-708.657	-949.955	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.2	136	175200
LS_Solaro_5120_O_E_AW	1.6	0.634098	0.645076	24.8071	1727.42	-714.804	-931.969	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.2	137	175200
LS_Solaro_5120_O_E_AW	3.2	0.694763	0.645076	23.9299	1706.45	-713.439	-911.289	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.2	138	175200
LS_Solaro_5120_O_E_AW	6.4	0.766855	0.645076	23.2272	1685.19	-708.547	-894.001	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.2	139	175200
LS_Solaro_5120_O_E_AW	12.8	0.8374	0.645076	22.8865	1671.89	-702.051	-886.559	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.2	140	175200
LS_Solaro_5120_O_E_AW	25.6	0.893939	0.645076	22.8477	1667.14	-695.813	-887.69	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.2	141	175200
LS_Obscura_9950_FR_W	0.05	0.507653	0.645076	30.2571	1893.7	-735.502	-1081.87	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.5	142	175200
LS_Obscura_9950_FR_W	0.1	0.510496	0.645076	30.0359	1888.75	-735.512	-1076.7	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.5	143	175200
LS_Obscura_9950_FR_W	0.2	0.516681	0.645076	29.6442	1879.91	-735.526	-1067.55	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.5	144	175200
LS_Obscura_9950_FR_W	0.4	0.528284	0.645076	28.9693	1863.98	-735.26	-1051.31	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.5	145	175200
LS_Obscura_9950_FR_W	0.8	0.55011	0.645076	27.9037	1837.79	-734.374	-1025.14	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.5	146	175200
LS_Obscura_9950_FR_W	1.6	0.588307	0.645076	26.5081	1800.7	-731.73	-989.502	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.5	147	175200
LS_Obscura_9950_FR_W	3.2	0.645325	0.645076	25.0026	1756.72	-726.421	-949.461	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.5	148	175200
LS_Obscura_9950_FR_W	6.4	0.714598	0.645076	23.7888	1714.71	-717.642	-914.971	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.5	149	175200
LS_Obscura_9950_FR_W	12.8	0.784192	0.645076	23.1323	1686.8	-707.734	-896.174	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.5	150	175200
LS_Obscura_9950_FR_W	25.6	0.84243	0.645076	22.981	1674.94	-698.283	-893.316	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.5	151	175200
