iteration.end	fileName.end	atEnd.end	density.thresholdGen.end	frequencies.thresholdGen.end	K_maxValue.end	coverage_maxValue.end	proportion_bounds_logP.end	q_bounds_logP.end	maxMortality.end	slope.end	resistanceGain.end	R.end	fitnessPenalty.end
153	scenarios.txt	FALSE	6	30	17182.2	0.554654	-2.93294	-4.84596	0.943953	1.1099	0.233827	45.804	0.367188
154	scenarios.txt	FALSE	30	29	12440.3	0.772411	-5.20763	-4.11888	0.90332	2.26413	0.371712	44.6806	0.0271362
155	scenarios.txt	FALSE	4	30	16092.4	0.440937	-2.74406	-5.27986	0.934478	4.6625	0.253666	34.7286	0.388752
156	scenarios.txt	FALSE	30	30	18453	0.873827	-3.77012	-4.45781	0.914377	1.7397	0.352166	7.86942	0.0799137
157	scenarios.txt	FALSE	30	14	12284.4	0.623127	-3.85417	-4.08507	0.945991	6.7586	0.273482	33.4211	0.11852
158	scenarios.txt	FALSE	30	30	15491.7	0.517663	-2.15839	-4.51679	0.949192	1.07347	0.194095	13.5628	0.187048
159	scenarios.txt	FALSE	30	28	13444.5	0.451262	-5.31928	-5.50313	0.921999	6.23317	0.288325	18.7585	0.0180909
160	scenarios.txt	FALSE	30	14	17284.6	0.498245	-3.03711	-5.8707	0.924787	9.0048	0.781518	21.7658	0.33978
161	scenarios.txt	FALSE	30	11	17485.4	0.813583	-5.51951	-4.42073	0.967321	8.9512	0.78846	7.64542	0.296216
162	scenarios.txt	FALSE	30	24	18806.7	0.590966	-4.02086	-4.69562	0.951373	9.68716	0.128001	38.0537	0.35562
163	scenarios.txt	FALSE	30	30	10774.4	0.436373	-5.62043	-4.97756	0.937063	8.68331	0.180635	9.44096	0.333069
164	scenarios.txt	FALSE	30	17	10350.9	0.386549	-3.21363	-5.03685	0.964195	9.25906	0.412762	5.34489	0.185795
165	scenarios.txt	FALSE	30	30	14305.7	0.437959	-4.16337	-4.77623	0.957485	6.41713	0.14271	48.5663	0.188407
166	scenarios.txt	FALSE	10	30	13497	0.885631	-3.61876	-5.2026	0.907242	2.25025	0.571535	48.2228	0.024685
167	scenarios.txt	FALSE	30	18	15397.9	0.311651	-2.99625	-5.38412	0.958255	7.15104	0.870999	3.26171	0.0276731
168	scenarios.txt	FALSE	30	27	19843.2	0.788762	-4.25627	-4.57258	0.912273	5.78921	0.178278	22.514	0.0923502
169	scenarios.txt	FALSE	30	30	19477.1	0.227451	-3.43982	-5.30881	0.937458	7.50926	0.674866	12.3559	0.291686
170	scenarios.txt	FALSE	30	30	14322.2	0.219781	-3.38464	-5.73237	0.918578	5.31267	0.273649	17.4779	0.15983
171	scenarios.txt	FALSE	8	30	14337.3	0.303873	-2.55997	-5.61654	0.986965	4.68355	0.770464	34.999	0.274955
172	scenarios.txt	FALSE	30	11	16266.3	0.714971	-4.33156	-5.6511	0.913214	8.37383	0.670331	38.5696	0.386342
173	scenarios.txt	FALSE	29	30	17353.9	0.626616	-4.48756	-4.76284	0.922905	1.72743	0.227226	34.2914	0.183136
174	scenarios.txt	FALSE	30	30	13811.7	0.188077	-4.52082	-4.53167	0.986667	5.42781	0.328576	6.6481	0.118865
175	scenarios.txt	FALSE	6	30	18303.7	0.376345	-2.97293	-4.87766	0.922552	3.5165	0.704796	39.0723	0.0879786
176	scenarios.txt	FALSE	24	17	10485.4	0.615777	-3.84621	-5.11012	0.944761	4.00266	0.602019	46.8757	0.0430694
177	scenarios.txt	FALSE	13	30	19964.2	0.558915	-4.48246	-5.4304	0.949717	2.87606	0.809014	33.6373	0.00845407
178	scenarios.txt	FALSE	30	30	13185	0.335023	-3.61001	-4.55357	0.963686	9.04406	0.125524	40.7042	0.307097
179	scenarios.txt	FALSE	30	17	18440.5	0.835176	-4.34681	-4.03124	0.931018	4.11889	0.716552	2.71118	0.181864
180	scenarios.txt	FALSE	30	20	14350.1	0.751129	-4.40271	-5.29628	0.974055	2.78434	0.533793	37.359	0.292621
181	scenarios.txt	FALSE	13	30	19145.3	0.265607	-2.90787	-4.90612	0.924638	5.74349	0.485705	35.2314	0.0114394
182	scenarios.txt	FALSE	30	30	15785.1	0.243605	-3.65891	-5.03196	0.958131	7.27499	0.196106	18.6325	0.0880125
183	scenarios.txt	FALSE	30	22	18159.4	0.368336	-3.78377	-5.18207	0.911284	6.68683	0.606929	18.7374	0.291354
184	scenarios.txt	FALSE	30	18	14965.6	0.637191	-4.03222	-5.84759	0.961206	3.24678	0.653653	18.5307	0.103547
185	scenarios.txt	FALSE	11	30	14660.5	0.342657	-4.95981	-4.42869	0.92141	6.97266	0.299037	32.4682	0.272487
186	scenarios.txt	FALSE	8	30	14242.4	0.334242	-3.44992	-5.53045	0.93743	1.10077	0.442784	45.1159	0.151423
187	scenarios.txt	FALSE	20	30	11635.5	0.571637	-2.70022	-5.4017	0.912209	2.66889	0.646798	44.6108	0.22074
188	scenarios.txt	FALSE	13	27	14277.2	0.526928	-5.61911	-5.95041	0.904344	3.04451	0.631721	42.9416	0.10313
189	scenarios.txt	FALSE	25	30	13022.2	0.136691	-3.92184	-4.46554	0.913755	4.86872	0.329626	32.1786	0.117616
190	scenarios.txt	FALSE	30	29	19765.4	0.823382	-4.89702	-4.54165	0.948816	3.50788	0.28331	3.08253	0.111182
191	scenarios.txt	FALSE	30	30	11213.2	0.694597	-3.33918	-4.07958	0.948074	1.4372	0.564744	8.46505	0.156969
192	scenarios.txt	FALSE	9	30	14626.7	0.341002	-3.3963	-5.07729	0.960097	9.49455	0.510259	41.8189	0.252531
193	scenarios.txt	FALSE	30	30	14788	0.246251	-3.79178	-4.86254	0.929249	9.92278	0.540781	28.9732	0.373384
194	scenarios.txt	FALSE	30	30	13015.4	0.504385	-3.95103	-5.44932	0.933572	1.78104	0.586727	11.3969	0.0503187
195	scenarios.txt	FALSE	30	15	14041.7	0.363037	-3.72994	-4.33399	0.937329	7.82113	0.546444	42.6203	0.370407
196	scenarios.txt	FALSE	30	12	13779.5	0.424563	-2.94938	-4.16324	0.968045	7.76969	0.468525	23.3723	0.222652
197	scenarios.txt	FALSE	30	30	10643	0.163188	-2.04968	-5.97047	0.928426	6.15094	0.340696	10.3877	0.253045
198	scenarios.txt	FALSE	30	30	13729.8	0.37915	-2.971	-5.50104	0.92097	4.52909	0.433276	29.1211	0.0936632
199	scenarios.txt	FALSE	16	30	16252.8	0.268405	-2.48143	-4.59179	0.946981	7.93628	0.289076	49.1592	0.245092
200	scenarios.txt	FALSE	30	30	11354.4	0.121728	-4.66396	-5.9409	0.976748	4.6245	0.781671	42.3729	0.164573
